SUB;Réel;Distance cos;Moyenne
Technicians;Technicians;0.22501070613463187;0.3526973503399845
posted;posted;0.3344732516815248;0.3526973503399845
judges;judges;0.5842216048006246;0.3526973503399845
spherical;spherical;0.4571368143161827;0.3526973503399845
crack;crack;0.37309530447810524;0.3526973503399845
colder;colder;0.4793663810293739;0.3526973503399845
customs;customs;0.47706775155046505;0.3526973503399845
profess;profess;0.5154570126047746;0.3526973503399845
impelling;impelling;0.08573739244538804;0.3526973503399845
Boyd;Boyd;0.46407530656335244;0.3526973503399845
Antithyroid;Antithyroid;0.5923921138544773;0.3526973503399845
Steele;Steele;0.2829221876112087;0.3526973503399845
loosen;loosen;0.4829992489155353;0.3526973503399845
representations;representations;0.41154225961691226;0.3526973503399845
considering;considering;0.7129926325761964;0.3526973503399845
4.77;4.77;-0.04207143021682689;0.3526973503399845
gunfire;gunfire;0.31769752351484837;0.3526973503399845
Pearson;Pearson;0.28518525913174025;0.3526973503399845
noticing;noticing;0.5270855920509655;0.3526973503399845
Saltonstall;Saltonstall;0.2358486702990377;0.3526973503399845
crumpled;crumpled;0.3862136594295019;0.3526973503399845
sediment;sediment;0.16594110010392832;0.3526973503399845
captives;captives;0.13575987553470975;0.3526973503399845
quantitative;quantitative;0.663231581789836;0.3526973503399845
dissolution;dissolution;0.3661144890275375;0.3526973503399845
Diplomatic;Diplomatic;-0.017909012494452613;0.3526973503399845
bugging;bugging;0.24755591849960723;0.3526973503399845
Nelson;Nelson;0.527853906213723;0.3526973503399845
Typical;Typical;0.07206731732681705;0.3526973503399845
Formosa;Formosa;0.15483816330689848;0.3526973503399845
liquidation;liquidation;0.33133999155044025;0.3526973503399845
sponsorship;sponsorship;0.3994632350234625;0.3526973503399845
offending;offending;0.37684771340456613;0.3526973503399845
wiry;wiry;0.2539205839857956;0.3526973503399845
mandate;mandate;0.5331158010329;0.3526973503399845
Selena;Selena;0.2028464337825544;0.3526973503399845
regret;regret;0.6236656779111355;0.3526973503399845
Arlene;Arlene;0.09820325686765154;0.3526973503399845
beep;beep;0.8308851473206533;0.3526973503399845
pre-season;pre-season;0.2021035762154961;0.3526973503399845
goldsmith;goldsmith;0.3510627940474047;0.3526973503399845
oral;oral;0.3769464279917737;0.3526973503399845
Records;Records;0.2679061063065508;0.3526973503399845
complementary;complementary;0.236989591418862;0.3526973503399845
starch;starch;0.41589240769607755;0.3526973503399845
dignified;dignified;0.44878675519688144;0.3526973503399845
historically;historically;0.5642928377033649;0.3526973503399845
presentational;presentational;0.3086924661052534;0.3526973503399845
install;install;0.45962387245071656;0.3526973503399845
bout;bout;0.4643068345491844;0.3526973503399845
stamps;stamps;0.5101067718597035;0.3526973503399845
objective;objective;0.6336118002255708;0.3526973503399845
incentive;incentive;0.5391431810295345;0.3526973503399845
gardening;gardening;0.26934928913717915;0.3526973503399845
Eq.;Eq.;-0.20185230764526205;0.3526973503399845
Experience;Experience;0.057831288591543725;0.3526973503399845
preceeding;preceeding;0.2944150590655311;0.3526973503399845
rural;rural;0.6295971873110446;0.3526973503399845
Morton;Morton;0.33647187173496534;0.3526973503399845
dispensary;dispensary;0.024087463621979038;0.3526973503399845
Thai;Thai;0.30732651673607936;0.3526973503399845
diplomatic;diplomatic;0.5466449311767786;0.3526973503399845
siding;siding;0.3845514964490344;0.3526973503399845
Coming;Coming;0.15586535414212524;0.3526973503399845
arches;arches;0.4098630794637911;0.3526973503399845
effeminate;effeminate;0.18023181016308834;0.3526973503399845
4-day;4-day;0.04142082828677351;0.3526973503399845
Finals;Finals;0.43226200409385424;0.3526973503399845
luminous;luminous;0.37045216682164495;0.3526973503399845
forbid;forbid;0.5187118736876458;0.3526973503399845
anions;anions;0.23090127936724594;0.3526973503399845
librettists;librettists;0.0809258832435103;0.3526973503399845
extend;extend;0.5910640587440007;0.3526973503399845
Glenda;Glenda;0.4346552368480608;0.3526973503399845
baggage;baggage;0.46607597152684666;0.3526973503399845
10.4;10.4;0.2666333916210056;0.3526973503399845
Korean;Korean;0.4429270805378405;0.3526973503399845
pitiable;pitiable;0.24599231209025718;0.3526973503399845
reel;reel;0.2539140977389593;0.3526973503399845
inequality;inequality;0.26796657795006806;0.3526973503399845
ultracentrifugation;ultracentrifugation;0.47228637161653314;0.3526973503399845
fellowship;fellowship;0.4375056433873893;0.3526973503399845
Moody;Moody;0.3586486590077815;0.3526973503399845
John-Henry;John-Henry;-0.23595404930313194;0.3526973503399845
immersed;immersed;0.46209554063174885;0.3526973503399845
disastrous;disastrous;0.5309717665654956;0.3526973503399845
recite;recite;0.3333245099086626;0.3526973503399845
Military;Military;0.3991589795568901;0.3526973503399845
Ala.;Ala.;0.4989238154225095;0.3526973503399845
I.;I.;0.6285581824215778;0.3526973503399845
cartridges;cartridges;0.3164858095937993;0.3526973503399845
Cunard;Cunard;0.06171981871732608;0.3526973503399845
breast;breast;0.428496217960655;0.3526973503399845
Reformation;Reformation;0.31164680858806926;0.3526973503399845
biological;biological;0.6671846774381843;0.3526973503399845
Orvil;Orvil;0.24301905551335956;0.3526973503399845
Lalaurie;Lalaurie;0.07554225995882587;0.3526973503399845
choosing;choosing;0.5050725734875186;0.3526973503399845
individually;individually;0.5100497339017978;0.3526973503399845
divisible;divisible;0.29305701174571586;0.3526973503399845
