SUB;Réel;Distance cos;Moyenne
shooter;shooter;0.2581798534204077;0.2845147219543
weird;weird;0.5156571690541071;0.2845147219543
sprouted;sprouted;0.2674898474345079;0.2845147219543
merge;merge;0.18184315047458594;0.2845147219543
leased;leased;0.40679017578795784;0.2845147219543
Loan;Loan;0.39454281268584107;0.2845147219543
wheezed;wheezed;0.309798688264;0.2845147219543
interstellar;interstellar;0.32243107902329743;0.2845147219543
fairing;fairing;0.2851861752449266;0.2845147219543
presume;presume;0.4936690223281735;0.2845147219543
Roquemore;Roquemore;0.22849384624353286;0.2845147219543
clucked;clucked;0.2866294286450211;0.2845147219543
grooves;grooves;0.26927055589642623;0.2845147219543
probate;probate;0.3420933839714623;0.2845147219543
headache;headache;0.17386106334928142;0.2845147219543
nailing;nailing;0.2776006639351049;0.2845147219543
missionaries;missionaries;0.28368256448964047;0.2845147219543
tripping;tripping;0.2389561645694001;0.2845147219543
irrational;irrational;0.3883431056006331;0.2845147219543
struggling;struggling;0.332866384336255;0.2845147219543
juncture;juncture;0.3298977201193915;0.2845147219543
treacherous;treacherous;0.25037225730012086;0.2845147219543
abused;abused;0.18078987906935656;0.2845147219543
skullcap;skullcap;0.3730704678853872;0.2845147219543
subtleties;subtleties;0.4674641175352682;0.2845147219543
delusion;delusion;0.3004907419801363;0.2845147219543
defocusing;defocusing;0.46470024868248055;0.2845147219543
heavenward;heavenward;0.24773478246893307;0.2845147219543
overcome;overcome;0.327891152559659;0.2845147219543
capricious;capricious;0.2080845853975104;0.2845147219543
Hardings;Hardings;0.1704387390729334;0.2845147219543
frivolous;frivolous;0.33299555046762636;0.2845147219543
washer;washer;0.26419558015025413;0.2845147219543
biography;biography;0.4356838904254859;0.2845147219543
impresario;impresario;-0.012449362800070146;0.2845147219543
squealing;squealing;0.17064303857046517;0.2845147219543
imperative;imperative;0.45176975042886625;0.2845147219543
decencies;decencies;0.4821817350374225;0.2845147219543
outbreaks;outbreaks;0.27880132720192063;0.2845147219543
Frito;Frito;0.15745129409976194;0.2845147219543
boycott;boycott;0.1915948234763695;0.2845147219543
amidst;amidst;0.23799167179041475;0.2845147219543
Emerald;Emerald;0.39562524536617627;0.2845147219543
fates;fates;0.290648592980958;0.2845147219543
laymen;laymen;0.3132738030654178;0.2845147219543
indefensible;indefensible;0.40359768743934304;0.2845147219543
Reynolds;Reynolds;0.22451347821747733;0.2845147219543
individually;individually;0.40372416684873563;0.2845147219543
Ripe;Ripe;0.24715739850052268;0.2845147219543
dump;dump;0.2632063776253473;0.2845147219543
pertains;pertains;0.2833606836405265;0.2845147219543
pattered;pattered;0.34371407884030886;0.2845147219543
epitomized;epitomized;0.34660649890277795;0.2845147219543
hymen;hymen;0.24323692793380064;0.2845147219543
Bari;Bari;0.22047012375363495;0.2845147219543
chiefs;chiefs;0.39934156540211524;0.2845147219543
socked;socked;0.16969245855601867;0.2845147219543
madly;madly;0.28359201930047534;0.2845147219543
circulate;circulate;0.132512244997929;0.2845147219543
Wabash;Wabash;0.45230306003420057;0.2845147219543
envy;envy;0.3692536817048236;0.2845147219543
delights;delights;0.2283002656503287;0.2845147219543
purported;purported;0.23852772517613863;0.2845147219543
Witold;Witold;0.23005055319339768;0.2845147219543
flattened;flattened;0.28019887210323646;0.2845147219543
Siberia;Siberia;0.4731884976644888;0.2845147219543
pours;pours;0.1257526470969536;0.2845147219543
villagers;villagers;0.061365842857601;0.2845147219543
parliamentary;parliamentary;0.3070965225735865;0.2845147219543
Mathematical;Mathematical;0.14004867310923896;0.2845147219543
Remarks;Remarks;0.24695262861824396;0.2845147219543
Sydney;Sydney;0.12403700405222921;0.2845147219543
Olgivanna;Olgivanna;0.23594219621948237;0.2845147219543
paving;paving;0.2364197767288468;0.2845147219543
Coliseum;Coliseum;0.21183859479967385;0.2845147219543
intimately;intimately;0.34697710361014134;0.2845147219543
laundering;laundering;0.21123918879344972;0.2845147219543
incidentally;incidentally;0.24982049224624525;0.2845147219543
springs;springs;0.31774540367198584;0.2845147219543
sweated;sweated;0.22228782239523273;0.2845147219543
Sumter;Sumter;0.27643658587609493;0.2845147219543
deserts;deserts;0.41404136086338833;0.2845147219543
banking;banking;0.3376120012049787;0.2845147219543
symbolize;symbolize;0.26670071921841654;0.2845147219543
unyielding;unyielding;0.11755996006850411;0.2845147219543
inroads;inroads;0.12416020138128409;0.2845147219543
Reconstruction;Reconstruction;0.1544660112159599;0.2845147219543
jackass;jackass;0.3828022792494051;0.2845147219543
unqualifiedly;unqualifiedly;0.32064440210947487;0.2845147219543
elephants;elephants;0.4332423291721326;0.2845147219543
Ferment;Ferment;0.12698128934302527;0.2845147219543
independents;independents;0.540843626275007;0.2845147219543
Indigenes;Indigenes;0.21383693960682004;0.2845147219543
appreciably;appreciably;0.3715174031870123;0.2845147219543
Northerner;Northerner;0.4825058506963953;0.2845147219543
Heenan;Heenan;0.0860232068911081;0.2845147219543
Luther;Luther;0.35097251001277974;0.2845147219543
parakeets;parakeets;0.06567419150545903;0.2845147219543
Parthenon;Parthenon;0.341915927612721;0.2845147219543
Myers;Myers;0.20073637059468255;0.2845147219543
