SUB;Réel;Distance cos;Moyenne
reflectance;reflectance;0.5755471962306632;0.5113172191422541
computations;computations;0.4792444864923358;0.5113172191422541
hissing;hissing;0.5804438794665278;0.5113172191422541
homecoming;homecoming;0.5651447885621184;0.5113172191422541
presaged;presaged;0.20739017786849445;0.5113172191422541
empirically;empirically;0.5737370989276146;0.5113172191422541
virile;virile;0.7642343899778534;0.5113172191422541
amphibious;amphibious;0.41106476838060674;0.5113172191422541
inspecting;inspecting;0.5762075204769233;0.5113172191422541
sociologically;sociologically;0.6234387705282946;0.5113172191422541
rime;rime;0.46082712188453073;0.5113172191422541
matt;matt;0.2143286102356555;0.5113172191422541
catapulted;catapulted;0.6020738466302994;0.5113172191422541
segregate;segregate;0.4448629918460935;0.5113172191422541
townsman;townsman;0.6692041786299168;0.5113172191422541
persona;persona;0.5570020390225129;0.5113172191422541
navigable;navigable;0.6049171931101338;0.5113172191422541
colonists;colonists;0.24541367429366726;0.5113172191422541
eraser;eraser;0.6855798474181021;0.5113172191422541
slaps;slaps;0.5824370804931303;0.5113172191422541
egalitarianism;egalitarianism;0.30302989228232724;0.5113172191422541
interact;interact;0.5732444168165365;0.5113172191422541
commensurate;commensurate;0.7046783035158488;0.5113172191422541
malaria;malaria;0.4595181993269176;0.5113172191422541
rejections;rejections;0.6952077703543624;0.5113172191422541
processors;processors;0.36287719025963217;0.5113172191422541
indoctrinated;indoctrinated;0.6113678536161888;0.5113172191422541
tripping;tripping;0.42340742714290325;0.5113172191422541
freeing;freeing;0.43380352888965784;0.5113172191422541
blackberry;blackberry;0.3290126939010921;0.5113172191422541
instigator;instigator;0.5713773253253456;0.5113172191422541
mor;mor;0.39789584108734644;0.5113172191422541
dwarfs;dwarfs;0.3560800928325663;0.5113172191422541
choral;choral;0.3530935637422454;0.5113172191422541
inflicting;inflicting;0.6109605327880727;0.5113172191422541
fashioning;fashioning;0.5231635337679372;0.5113172191422541
stabilize;stabilize;0.5967616490020001;0.5113172191422541
spewing;spewing;0.6172852572992114;0.5113172191422541
hugged;hugged;0.6561222929731596;0.5113172191422541
futile;futile;0.6232237321541018;0.5113172191422541
parcel;parcel;0.3948136143057324;0.5113172191422541
dispossessed;dispossessed;0.6634382172522225;0.5113172191422541
dogged;dogged;0.4867312874245265;0.5113172191422541
deferring;deferring;0.6578668104755068;0.5113172191422541
assess;assess;0.46303342478296794;0.5113172191422541
rearranged;rearranged;0.4276706558855162;0.5113172191422541
naughty;naughty;0.6174626107327709;0.5113172191422541
undercurrent;undercurrent;0.7339345673228999;0.5113172191422541
vowel;vowel;0.5385782676237588;0.5113172191422541
infertile;infertile;0.49030904182250373;0.5113172191422541
ipso;ipso;0.6792076522225134;0.5113172191422541
mailman;mailman;0.31295338486851676;0.5113172191422541
plausible;plausible;0.5130250285965223;0.5113172191422541
irrigation;irrigation;0.6272604444079731;0.5113172191422541
magnetized;magnetized;0.4693575110649928;0.5113172191422541
undisclosed;undisclosed;0.4303165024469768;0.5113172191422541
tombs;tombs;0.5685735010419907;0.5113172191422541
treasuries;treasuries;0.4856786100206849;0.5113172191422541
banquets;banquets;0.5100986997485506;0.5113172191422541
vestments;vestments;0.407151710358218;0.5113172191422541
refueling;refueling;0.5318598050873916;0.5113172191422541
rewriting;rewriting;0.4985553994780072;0.5113172191422541
toto;toto;0.31271610084559204;0.5113172191422541
grouping;grouping;0.47982920038513;0.5113172191422541
pallor;pallor;0.577565457298159;0.5113172191422541
genii;genii;0.5260836128548316;0.5113172191422541
deduce;deduce;0.5398815412011435;0.5113172191422541
courtship;courtship;0.5262172574376354;0.5113172191422541
moderating;moderating;0.4395288466057025;0.5113172191422541
neuter;neuter;0.7739173750899367;0.5113172191422541
dispersion;dispersion;0.4389292054127862;0.5113172191422541
induces;induces;0.6291852987675985;0.5113172191422541
infer;infer;0.4321188035653757;0.5113172191422541
mash;mash;0.38557724136042915;0.5113172191422541
amongst;amongst;0.5083581921790814;0.5113172191422541
repellent;repellent;0.5686197427978551;0.5113172191422541
cynicism;cynicism;0.4772443941739837;0.5113172191422541
turrets;turrets;0.40225637724649815;0.5113172191422541
searing;searing;0.4665995273087379;0.5113172191422541
feud;feud;0.31535350528019734;0.5113172191422541
reinterpreted;reinterpreted;0.3548196377674551;0.5113172191422541
unifying;unifying;0.5379777549740301;0.5113172191422541
transcript;transcript;0.4811935212454471;0.5113172191422541
verisimilitude;verisimilitude;0.5187915306998413;0.5113172191422541
discreetly;discreetly;0.614883494204242;0.5113172191422541
epileptic;epileptic;0.4340668615189032;0.5113172191422541
dodging;dodging;0.5375450505169466;0.5113172191422541
subroutines;subroutines;0.5647638164857548;0.5113172191422541
stabilization;stabilization;0.5583242845580977;0.5113172191422541
fouling;fouling;0.6328382620377264;0.5113172191422541
uranium;uranium;0.5803090986925304;0.5113172191422541
injunctions;injunctions;0.620029222057211;0.5113172191422541
valor;valor;0.412837807945285;0.5113172191422541
orb;orb;0.3395494564087206;0.5113172191422541
harpsichord;harpsichord;0.43799935681618496;0.5113172191422541
senile;senile;0.5263911360241699;0.5113172191422541
massed;massed;0.37959626007647673;0.5113172191422541
fractures;fractures;0.5474270147616934;0.5113172191422541
injecting;injecting;0.6039986534935964;0.5113172191422541
batted;batted;0.5153105096067491;0.5113172191422541
