SUB;Réel;Distance cos;Moyenne
variance;variance;0.28153279043114443;0.560478300336933
unnecessary;unnecessary;0.6135085396257864;0.560478300336933
career;career;0.529308221253842;0.560478300336933
rehabilitation;rehabilitation;0.4640451037324773;0.560478300336933
away;away;0.6765579507607796;0.560478300336933
man;man;0.6580312549758165;0.560478300336933
propose;propose;0.5345045646635842;0.560478300336933
partake;partake;0.4174360912239865;0.560478300336933
respect;respect;0.7141251608595091;0.560478300336933
structure;structure;0.48763845251367943;0.560478300336933
imposed;imposed;0.6104576161616448;0.560478300336933
seem;seem;0.772993881020609;0.560478300336933
fathers;fathers;0.6158418109093899;0.560478300336933
endurance;endurance;0.4478058796197014;0.560478300336933
rights;rights;0.6270808002536793;0.560478300336933
establishments;establishments;0.4327942897383232;0.560478300336933
policy;policy;0.6581301865509892;0.560478300336933
over;over;0.6514015433991305;0.560478300336933
peril;peril;0.4111431911188497;0.560478300336933
further;further;0.714242160018223;0.560478300336933
incident;incident;0.41961517288985384;0.560478300336933
eyes;eyes;0.6317049805503246;0.560478300336933
whites;whites;0.49584216937639186;0.560478300336933
much;much;0.8392918149145028;0.560478300336933
know;know;0.7761277677249502;0.560478300336933
sublime;sublime;0.33183596468411447;0.560478300336933
individual;individual;0.7154196717211696;0.560478300336933
If;If;0.5859901274463141;0.560478300336933
me;me;0.6907342135138693;0.560478300336933
practical;practical;0.6264209749486926;0.560478300336933
present;present;0.7023721577053306;0.560478300336933
naval;naval;0.5334864985168256;0.560478300336933
deep;deep;0.5033264897307029;0.560478300336933
shall;shall;0.5594548789107204;0.560478300336933
mandate;mandate;0.5143107383564679;0.560478300336933
give;give;0.7563825036633455;0.560478300336933
into;into;0.6798507919572212;0.560478300336933
peoples;peoples;0.5888487917614376;0.560478300336933
seek;seek;0.7076864091255342;0.560478300336933
new;new;0.5857765445427336;0.560478300336933
elements;elements;0.5492682864474803;0.560478300336933
vision;vision;0.5667543246732818;0.560478300336933
should;should;0.7723424253403788;0.560478300336933
celebrated;celebrated;0.48602658516413255;0.560478300336933
possession;possession;0.40202585867107765;0.560478300336933
friend;friend;0.5602671908102641;0.560478300336933
escape;escape;0.5082847880102467;0.560478300336933
normal;normal;0.5954509982832783;0.560478300336933
enterprises;enterprises;0.5716570310483097;0.560478300336933
secondary;secondary;0.3849548482929186;0.560478300336933
sanguine;sanguine;0.22988986096538053;0.560478300336933
harvests;harvests;0.33241370279532145;0.560478300336933
And;And;0.3747628394278602;0.560478300336933
uttered;uttered;0.284923548196347;0.560478300336933
assume;assume;0.7076678609856476;0.560478300336933
defenses;defenses;0.4129799876550456;0.560478300336933
In;In;0.3321231067875483;0.560478300336933
Enough;Enough;0.16780416922859817;0.560478300336933
climate;climate;0.5130757739862136;0.560478300336933
enlightened;enlightened;0.5479719290366861;0.560478300336933
ask;ask;0.727272591650824;0.560478300336933
my;my;0.5932447494292153;0.560478300336933
amnesty;amnesty;0.31000002984704317;0.560478300336933
you;you;0.8241039188010907;0.560478300336933
noble;noble;0.498358393356253;0.560478300336933
friendship;friendship;0.5534909813010764;0.560478300336933
You;You;0.4616364656353364;0.560478300336933
back;back;0.7025120770174279;0.560478300336933
large;large;0.5878164754015955;0.560478300336933
because;because;0.8451644644274506;0.560478300336933
matured;matured;0.32140131499255037;0.560478300336933
public;public;0.6773680575989018;0.560478300336933
justice;justice;0.6417309917540658;0.560478300336933
area;area;0.5544027726167856;0.560478300336933
first;first;0.685602895181845;0.560478300336933
administration;administration;0.5908816616671331;0.560478300336933
fought;fought;0.6170898311093728;0.560478300336933
settled;settled;0.5628838378084501;0.560478300336933
composed;composed;0.3848497411065961;0.560478300336933
effects;effects;0.46199748309866345;0.560478300336933
money;money;0.6711957685652284;0.560478300336933
great;great;0.6376797175219772;0.560478300336933
tools;tools;0.43471219939115363;0.560478300336933
conformity;conformity;0.45651396527995214;0.560478300336933
upon;upon;0.7421171653682477;0.560478300336933
actually;actually;0.6210061009320601;0.560478300336933
calculations;calculations;0.3164728530664304;0.560478300336933
before;before;0.721345719423035;0.560478300336933
importance;importance;0.7082794249509134;0.560478300336933
founders;founders;0.43956393337560645;0.560478300336933
benefit;benefit;0.6710201478311937;0.560478300336933
wish;wish;0.6921660168536197;0.560478300336933
nor;nor;0.7857918592129052;0.560478300336933
personal;personal;0.6645545656631886;0.560478300336933
movement;movement;0.5164628035161619;0.560478300336933
freely;freely;0.5400431393174752;0.560478300336933
State;State;0.432928801846759;0.560478300336933
solid;solid;0.37665379285885525;0.560478300336933
traces;traces;0.3983374010739929;0.560478300336933
out;out;0.7554726571652068;0.560478300336933
