SUB;Réel;Distance cos;Moyenne
invasions;invasions;0.15060739948350196;0.2992904449093554
whose;whose;0.16804421501807082;0.2992904449093554
topic;topic;0.17496677679635125;0.2992904449093554
view;view;0.374098054830232;0.2992904449093554
him;him;0.3256126283518196;0.2992904449093554
unlimited;unlimited;0.189591774830657;0.2992904449093554
Confidently;Confidently;0.03189976734702827;0.2992904449093554
powers;powers;0.3335772056860828;0.2992904449093554
translated;translated;0.0907830566154953;0.2992904449093554
work;work;0.5118556238318968;0.2992904449093554
mention;mention;0.08811385423721889;0.2992904449093554
incorporated;incorporated;0.17209262034880143;0.2992904449093554
theory;theory;0.3210566781556143;0.2992904449093554
itself;itself;0.3749234739569874;0.2992904449093554
oppose;oppose;0.17006256433776334;0.2992904449093554
quest;quest;0.5925425333740787;0.2992904449093554
obvious;obvious;0.4090285666994646;0.2992904449093554
restored;restored;0.22621208949716112;0.2992904449093554
weapons;weapons;0.49016801772199914;0.2992904449093554
master;master;0.28935870238600536;0.2992904449093554
walk;walk;0.2488250194024847;0.2992904449093554
suspicion;suspicion;0.2916160657712485;0.2992904449093554
pay;pay;0.41571793574153004;0.2992904449093554
society;society;0.424420734608759;0.2992904449093554
unaided;unaided;0.09028563870286747;0.2992904449093554
aggression;aggression;0.4033688407206698;0.2992904449093554
dwarfed;dwarfed;0.1651269346406637;0.2992904449093554
quality;quality;0.47481003094960733;0.2992904449093554
elements;elements;0.23941887008092005;0.2992904449093554
credits;credits;0.1456789776212931;0.2992904449093554
treaties;treaties;0.38365164896106635;0.2992904449093554
considerations;considerations;0.24105328937480108;0.2992904449093554
views;views;0.2826450666026068;0.2992904449093554
age;age;0.2555897536222263;0.2992904449093554
definition;definition;0.3240095779746845;0.2992904449093554
patriot;patriot;0.34612207512392135;0.2992904449093554
choices;choices;0.28038138334306884;0.2992904449093554
on;on;0.06672673886340373;0.2992904449093554
ground;ground;0.2656849453416256;0.2992904449093554
somewhat;somewhat;0.16458751716532996;0.2992904449093554
calculated;calculated;0.18909554867551065;0.2992904449093554
executive;executive;0.36330321843198754;0.2992904449093554
arm;arm;0.6247941488719488;0.2992904449093554
allies;allies;0.4407464465530052;0.2992904449093554
struggling;struggling;0.2898528425319534;0.2992904449093554
formidable;formidable;0.34904954801110905;0.2992904449093554
servants;servants;0.243067743652865;0.2992904449093554
native;native;0.3136184446648625;0.2992904449093554
failure;failure;0.362267173121941;0.2992904449093554
strongly;strongly;0.33027439287419763;0.2992904449093554
coordinate;coordinate;0.3618145460576962;0.2992904449093554
opinion;opinion;0.3494936027723272;0.2992904449093554
cooperating;cooperating;0.13518354839794697;0.2992904449093554
among;among;0.2672890628680065;0.2992904449093554
instrumentalities;instrumentalities;0.30796143068813253;0.2992904449093554
room;room;0.27936682889225584;0.2992904449093554
lest;lest;0.268221729499897;0.2992904449093554
majority;majority;0.4301923303261598;0.2992904449093554
despotism;despotism;0.486065296091901;0.2992904449093554
imperfectly;imperfectly;0.18154768689022693;0.2992904449093554
express;express;0.35849563190483097;0.2992904449093554
record;record;0.25114632867913117;0.2992904449093554
likely;likely;0.2799960535663779;0.2992904449093554
humanity;humanity;0.3758687021548613;0.2992904449093554
Should;Should;0.18468377583320733;0.2992904449093554
uncertainty;uncertainty;0.2238446414969213;0.2992904449093554
claim;claim;0.29308079013458754;0.2992904449093554
Every;Every;0.24098084613799675;0.2992904449093554
strictly;strictly;0.5111385390399875;0.2992904449093554
confidence;confidence;0.38368163903057123;0.2992904449093554
friendship;friendship;0.3453315529048823;0.2992904449093554
authors;authors;0.1428682428588654;0.2992904449093554
tariff;tariff;0.3293727791500556;0.2992904449093554
conclusive;conclusive;0.42688254660365177;0.2992904449093554
bear;bear;0.363556560212008;0.2992904449093554
modification;modification;0.33106822660991114;0.2992904449093554
try;try;0.48439742317588685;0.2992904449093554
Divided;Divided;-0.010379389617584417;0.2992904449093554
different;different;0.3867086760295158;0.2992904449093554
wherever;wherever;0.40019829005234325;0.2992904449093554
generation;generation;0.4343590973486875;0.2992904449093554
European;European;0.22541788791159842;0.2992904449093554
hardly;hardly;0.2740667243823556;0.2992904449093554
sincere;sincere;0.5563318433163773;0.2992904449093554
highly;highly;0.39107662563527457;0.2992904449093554
back;back;0.47627813127067103;0.2992904449093554
live;live;0.35312236235822725;0.2992904449093554
oppressing;oppressing;0.33247464019834055;0.2992904449093554
thank;thank;0.3233564151866007;0.2992904449093554
hand;hand;0.5347439653066092;0.2992904449093554
successfully;successfully;0.33709088643155205;0.2992904449093554
disorderly;disorderly;0.2067222728522195;0.2992904449093554
witnessed;witnessed;0.16203241272570804;0.2992904449093554
seven;seven;0.418154803195942;0.2992904449093554
misrepresentation;misrepresentation;0.1391297290783283;0.2992904449093554
attached;attached;0.15424429398041264;0.2992904449093554
misdirect;misdirect;0.06985098688157707;0.2992904449093554
vast;vast;0.36604448262336864;0.2992904449093554
acceptance;acceptance;0.20007622100942013;0.2992904449093554
compensated;compensated;0.10402663529132344;0.2992904449093554
