SUB;Réel;Distance cos;Moyenne
acknowledgment;acknowledgment;0.5688301018326236;0.4348991802092629
consume;consume;0.41415059062074155;0.4348991802092629
table;table;0.3536520186181854;0.4348991802092629
mostly;mostly;0.5467590732699956;0.4348991802092629
alongside;alongside;0.29814267993047444;0.4348991802092629
manufactured;manufactured;0.46958305856233035;0.4348991802092629
twice;twice;0.2964806936997283;0.4348991802092629
unanimity;unanimity;0.6464652404121483;0.4348991802092629
perseverance;perseverance;0.5833810107629078;0.4348991802092629
unify;unify;0.27536364825527937;0.4348991802092629
pack;pack;0.3275486441143453;0.4348991802092629
minimum;minimum;0.5840991742485171;0.4348991802092629
needy;needy;0.45266935907908723;0.4348991802092629
diseases;diseases;0.46294421397536684;0.4348991802092629
remembering;remembering;0.4496071569959638;0.4348991802092629
car;car;0.3894314755341001;0.4348991802092629
waterways;waterways;0.4599598895874644;0.4348991802092629
competitions;competitions;0.30619175168198975;0.4348991802092629
electric;electric;0.43808419765039874;0.4348991802092629
possibly;possibly;0.4913208139547445;0.4348991802092629
dissensions;dissensions;0.7084197874963611;0.4348991802092629
explored;explored;0.33075953510020734;0.4348991802092629
infinite;infinite;0.3375893047832438;0.4348991802092629
adventurers;adventurers;0.3837315843303434;0.4348991802092629
advocates;advocates;0.3572954900461018;0.4348991802092629
goods;goods;0.4923579239241161;0.4348991802092629
aspire;aspire;0.5306222192409763;0.4348991802092629
unsurpassed;unsurpassed;0.5000103477906527;0.4348991802092629
presume;presume;0.5124991893374046;0.4348991802092629
intelligences;intelligences;0.5371141086956077;0.4348991802092629
slaughter;slaughter;0.38470502635704307;0.4348991802092629
demagogue;demagogue;0.4896690426676908;0.4348991802092629
symptom;symptom;0.38183976350775006;0.4348991802092629
rod;rod;0.2913410349894511;0.4348991802092629
arriving;arriving;0.4469048237441176;0.4348991802092629
degenerate;degenerate;0.3378820537796096;0.4348991802092629
gigantic;gigantic;0.3511242730793918;0.4348991802092629
conspicuous;conspicuous;0.4878949443615783;0.4348991802092629
shorten;shorten;0.36821663847934993;0.4348991802092629
judged;judged;0.4150346692609323;0.4348991802092629
warped;warped;0.41196198078848745;0.4348991802092629
promulgation;promulgation;0.5593942264057638;0.4348991802092629
arresting;arresting;0.47084670877718976;0.4348991802092629
terrifying;terrifying;0.4304215229264463;0.4348991802092629
memorable;memorable;0.4852108499526179;0.4348991802092629
civic;civic;0.48670926871382797;0.4348991802092629
assessed;assessed;0.48315279176774956;0.4348991802092629
tonnage;tonnage;0.6356542208749909;0.4348991802092629
dissipation;dissipation;0.3999343209955868;0.4348991802092629
inefficient;inefficient;0.47225982973891967;0.4348991802092629
understandable;understandable;0.5468117575893521;0.4348991802092629
creating;creating;0.5861422662793229;0.4348991802092629
rivalry;rivalry;0.33783073935395136;0.4348991802092629
prostration;prostration;0.43502655613097024;0.4348991802092629
polite;polite;0.36834389641092236;0.4348991802092629
total;total;0.47068143705411797;0.4348991802092629
classroom;classroom;0.382885450617583;0.4348991802092629
ordeal;ordeal;0.3197901116542141;0.4348991802092629
attends;attends;0.49010821317594766;0.4348991802092629
rob;rob;0.1681035900231765;0.4348991802092629
alteration;alteration;0.41779339480302535;0.4348991802092629
distrustful;distrustful;0.6532211334108968;0.4348991802092629
solace;solace;0.5216930370127622;0.4348991802092629
ores;ores;0.377560920191569;0.4348991802092629
umpire;umpire;0.26977169797207606;0.4348991802092629
recommends;recommends;0.42046240546076946;0.4348991802092629
magic;magic;0.2706392625899384;0.4348991802092629
insistent;insistent;0.5613748690335293;0.4348991802092629
entertaining;entertaining;0.2827228063185873;0.4348991802092629
hated;hated;0.5347266923860469;0.4348991802092629
succumb;succumb;0.537854344110726;0.4348991802092629
oracle;oracle;0.2339014666548862;0.4348991802092629
battles;battles;0.49952548088124754;0.4348991802092629
defining;defining;0.45077458368576423;0.4348991802092629
atrocious;atrocious;0.5201642028578414;0.4348991802092629
overthrown;overthrown;0.3457978068127706;0.4348991802092629
ennobled;ennobled;0.513709943055262;0.4348991802092629
reclaiming;reclaiming;0.4797645690003574;0.4348991802092629
distinctly;distinctly;0.4320553273404558;0.4348991802092629
drain;drain;0.3957061883856633;0.4348991802092629
unfriendly;unfriendly;0.5734383684083553;0.4348991802092629
bodily;bodily;0.3542608996312234;0.4348991802092629
wished;wished;0.573596730739715;0.4348991802092629
disturbing;disturbing;0.3402367950677665;0.4348991802092629
forged;forged;0.40326820976053473;0.4348991802092629
atom;atom;0.3141324156885097;0.4348991802092629
reconciled;reconciled;0.48211174548785557;0.4348991802092629
violent;violent;0.43709265795867497;0.4348991802092629
king;king;0.37462163639140833;0.4348991802092629
symbolizing;symbolizing;0.5105607030897035;0.4348991802092629
renders;renders;0.2550273958968275;0.4348991802092629
allied;allied;0.36479982249282045;0.4348991802092629
undisturbed;undisturbed;0.638461842791773;0.4348991802092629
handmaid;handmaid;0.2232313886801126;0.4348991802092629
purports;purports;0.5178734634547228;0.4348991802092629
acute;acute;0.39772473653519036;0.4348991802092629
clogged;clogged;0.41089114784181974;0.4348991802092629
accommodation;accommodation;0.26036358946300586;0.4348991802092629
applicable;applicable;0.5185841810881426;0.4348991802092629
defied;defied;0.41947386550449195;0.4348991802092629
