SUB;Réel;Distance cos;Moyenne
meals;meals;0.5692667119387252;0.4267103306444648
conversation;conversation;0.6343534078716876;0.4267103306444648
urbanization;urbanization;0.2587593892771065;0.4267103306444648
continuously;continuously;0.5784616332590826;0.4267103306444648
surviving;surviving;0.47051352830231813;0.4267103306444648
infectious;infectious;0.587990935202435;0.4267103306444648
belief;belief;0.7174941219378227;0.4267103306444648
Similarly;Similarly;0.39480692834488396;0.4267103306444648
Fiorello;Fiorello;-0.027992573731309933;0.4267103306444648
Division;Division;0.5280596070403077;0.4267103306444648
dental;dental;0.5794780460247333;0.4267103306444648
although;although;0.8029387158603346;0.4267103306444648
Senators;Senators;0.3763877225149165;0.4267103306444648
Ever;Ever;0.2178786877799745;0.4267103306444648
requirements;requirements;0.6162320100518778;0.4267103306444648
owe;owe;0.5615060212392367;0.4267103306444648
capita;capita;0.6058352822400608;0.4267103306444648
notice;notice;0.6357292009975545;0.4267103306444648
Concerning;Concerning;0.02779081041829114;0.4267103306444648
Canaveral;Canaveral;0.1548331794309733;0.4267103306444648
N.;N.;0.6184601255676125;0.4267103306444648
Maryland;Maryland;0.6862744208576842;0.4267103306444648
governed;governed;0.6076810131086308;0.4267103306444648
gubernatorial;gubernatorial;0.6432905782624792;0.4267103306444648
canvassing;canvassing;0.06684991449295331;0.4267103306444648
enrolled;enrolled;0.4745896507148017;0.4267103306444648
forth;forth;0.624737045433241;0.4267103306444648
anything;anything;0.8367923162008403;0.4267103306444648
sixty-one;sixty-one;0.36619178876232267;0.4267103306444648
Lyttleton;Lyttleton;-0.0634749008113706;0.4267103306444648
enhancing;enhancing;0.580272101415853;0.4267103306444648
parts;parts;0.4733063956238986;0.4267103306444648
optimal;optimal;0.5002453798511862;0.4267103306444648
thoroughgoing;thoroughgoing;0.2565232729674897;0.4267103306444648
Grady;Grady;0.3168009795170447;0.4267103306444648
ingratiating;ingratiating;0.08665678603209102;0.4267103306444648
exposition;exposition;0.30331126842576955;0.4267103306444648
Morse;Morse;0.31079420611667996;0.4267103306444648
convicts;convicts;0.38108793223881204;0.4267103306444648
belongs;belongs;0.4631088374388097;0.4267103306444648
Fig.;Fig.;0.3320748957805255;0.4267103306444648
Hanukkah;Hanukkah;0.1636511427114948;0.4267103306444648
gages;gages;0.2910553160242303;0.4267103306444648
page;page;0.5327552665247776;0.4267103306444648
undertaker;undertaker;0.10602987567705505;0.4267103306444648
missed;missed;0.5992184213979151;0.4267103306444648
lady;lady;0.6476071750141679;0.4267103306444648
students;students;0.6388486979981434;0.4267103306444648
monstrous;monstrous;0.39551657519687217;0.4267103306444648
bag;bag;0.5291309231188992;0.4267103306444648
teen-agers;teen-agers;0.20580767472618164;0.4267103306444648
Written;Written;0.12154712564870537;0.4267103306444648
expense;expense;0.620191450654862;0.4267103306444648
month;month;0.6978527855530732;0.4267103306444648
designers;designers;0.5469629420523263;0.4267103306444648
cps;cps;0.13556658694115503;0.4267103306444648
community;community;0.6665954584649102;0.4267103306444648
suicide;suicide;0.5264370317850805;0.4267103306444648
Friend;Friend;0.21106459994157026;0.4267103306444648
1949;1949;0.4479834844005663;0.4267103306444648
accepting;accepting;0.5630160566920938;0.4267103306444648
onto;onto;0.6270555280763317;0.4267103306444648
1927;1927;0.2684733816031249;0.4267103306444648
Liberace;Liberace;-0.04471482998859868;0.4267103306444648
Southeast;Southeast;0.5927978337984995;0.4267103306444648
jerks;jerks;0.21618586766814837;0.4267103306444648
Fran;Fran;0.24845271746200676;0.4267103306444648
Nobody;Nobody;0.4233706947377213;0.4267103306444648
machinery;machinery;0.5131346665922648;0.4267103306444648
decades;decades;0.6936589769812723;0.4267103306444648
output;output;0.41301485908286345;0.4267103306444648
Russians;Russians;0.3647943773372303;0.4267103306444648
Yamata;Yamata;-0.12649639428125392;0.4267103306444648
Grazie;Grazie;-0.05462161422247581;0.4267103306444648
shaped;shaped;0.5399436851830763;0.4267103306444648
inspire;inspire;0.3119889649325992;0.4267103306444648
furiously;furiously;0.5589147161373904;0.4267103306444648
pilot;pilot;0.5048826647226299;0.4267103306444648
shopping;shopping;0.5527896984019033;0.4267103306444648
dad;dad;0.5514853946907935;0.4267103306444648
benefits;benefits;0.6569347404733573;0.4267103306444648
Liberal;Liberal;0.4510434798388541;0.4267103306444648
infrequent;infrequent;0.2910075595100723;0.4267103306444648
Vice;Vice;0.6620120615500642;0.4267103306444648
staunchest;staunchest;0.08091612961077888;0.4267103306444648
dialysis;dialysis;0.3642181202497969;0.4267103306444648
acts;acts;0.5553866475035381;0.4267103306444648
slipped;slipped;0.5770425108824281;0.4267103306444648
tells;tells;0.6255213179082243;0.4267103306444648
looking;looking;0.6464277750401191;0.4267103306444648
trot;trot;0.3847332335033761;0.4267103306444648
sharp;sharp;0.5739100172615921;0.4267103306444648
keenly;keenly;0.3613445707267984;0.4267103306444648
Massachusetts;Massachusetts;0.6162733500331571;0.4267103306444648
Criminal;Criminal;0.3480582861546405;0.4267103306444648
movable;movable;0.2984574401465597;0.4267103306444648
inventor;inventor;0.47774832249635324;0.4267103306444648
Better;Better;0.28142485268518175;0.4267103306444648
antagonism;antagonism;0.32454451780793564;0.4267103306444648
Tidewater;Tidewater;0.13618097762567313;0.4267103306444648
