SUB;Réel;Distance cos;Moyenne
larkspur;larkspur;0.31487365293555214;0.29453259887431155
Walle;Walle;0.15868090707899668;0.29453259887431155
incompatible;incompatible;0.19864262086785034;0.29453259887431155
blanket;blanket;0.39640505073944154;0.29453259887431155
tines;tines;0.30978374502696704;0.29453259887431155
untenanted;untenanted;0.4105792524991066;0.29453259887431155
dripping;dripping;0.32782819741108954;0.29453259887431155
coworkers;coworkers;0.2020436583536279;0.29453259887431155
myocardial;myocardial;0.5404280920288584;0.29453259887431155
intimidation;intimidation;0.4223303677374979;0.29453259887431155
persuading;persuading;0.31137802994336156;0.29453259887431155
contend;contend;0.27941131964929883;0.29453259887431155
desired;desired;0.362378094426027;0.29453259887431155
theatergoers;theatergoers;0.07925312231437022;0.29453259887431155
nucleus;nucleus;0.2868185896916288;0.29453259887431155
sentimental;sentimental;0.41730940758662805;0.29453259887431155
airlift;airlift;0.2319477074488195;0.29453259887431155
Belgium;Belgium;0.15831604860454002;0.29453259887431155
saddles;saddles;0.0887092237485339;0.29453259887431155
repairmen;repairmen;0.20573880863331828;0.29453259887431155
scimitar;scimitar;0.15986164449397927;0.29453259887431155
warren;warren;0.14241941503907118;0.29453259887431155
heather;heather;0.31326856549786525;0.29453259887431155
Mole;Mole;0.07072768439414887;0.29453259887431155
Gross;Gross;0.26954136566196757;0.29453259887431155
aesthetic;aesthetic;0.4573814084332233;0.29453259887431155
Paintings;Paintings;0.4151018093610595;0.29453259887431155
sticky;sticky;0.5259248903765948;0.29453259887431155
renal;renal;0.3780191122073937;0.29453259887431155
issuing;issuing;0.197751142208359;0.29453259887431155
savoring;savoring;0.43879462268823854;0.29453259887431155
Hole;Hole;0.12282662518328342;0.29453259887431155
Eagles;Eagles;0.33275564783670625;0.29453259887431155
trunks;trunks;0.33184103793182973;0.29453259887431155
Englanders;Englanders;0.2329922404339745;0.29453259887431155
intermolecular;intermolecular;0.19058866267953045;0.29453259887431155
staircase;staircase;0.43606069648331;0.29453259887431155
compulsives;compulsives;0.11537482866786307;0.29453259887431155
headquarter;headquarter;0.17035067505437967;0.29453259887431155
receives;receives;0.24829023842042836;0.29453259887431155
engender;engender;0.2274937812148463;0.29453259887431155
prolonging;prolonging;0.0938267599335627;0.29453259887431155
voltmeter;voltmeter;0.25966415409211935;0.29453259887431155
Milledgeville;Milledgeville;0.07737458765609741;0.29453259887431155
brim;brim;0.4276377467611996;0.29453259887431155
rosaries;rosaries;0.04655351056640085;0.29453259887431155
struggles;struggles;0.17458353826863063;0.29453259887431155
revivalism;revivalism;0.278808749232617;0.29453259887431155
Rey;Rey;0.4428452551043765;0.29453259887431155
adjournment;adjournment;0.16333272502463414;0.29453259887431155
professors;professors;0.5590525341764496;0.29453259887431155
shipping;shipping;0.18304410794934572;0.29453259887431155
debates;debates;0.3277706019486856;0.29453259887431155
boughs;boughs;0.46113235949925047;0.29453259887431155
subtleties;subtleties;0.42195437784168105;0.29453259887431155
Complete;Complete;0.030184471230645656;0.29453259887431155
criminality;criminality;0.6345097316510744;0.29453259887431155
Regius;Regius;0.3429862893778289;0.29453259887431155
downright;downright;0.39367827861917015;0.29453259887431155
purposely;purposely;0.2186865503416446;0.29453259887431155
blossom;blossom;0.48070597972914453;0.29453259887431155
geological;geological;0.3082676364060212;0.29453259887431155
stumps;stumps;0.2252267688844209;0.29453259887431155
Contrast;Contrast;0.17230630470396036;0.29453259887431155
penetrated;penetrated;0.16604129093376516;0.29453259887431155
dope;dope;0.40335781248400726;0.29453259887431155
sponsors;sponsors;0.2594194373949162;0.29453259887431155
mien;mien;0.3590498755539653;0.29453259887431155
jerky;jerky;0.33146892764205066;0.29453259887431155
pennies;pennies;0.4953051991001336;0.29453259887431155
traitors;traitors;0.2746629814541718;0.29453259887431155
fights;fights;0.24394318893477443;0.29453259887431155
clover;clover;0.3841737595234772;0.29453259887431155
9b;9b;0.3353201393224342;0.29453259887431155
insulin;insulin;0.23462777344766314;0.29453259887431155
succeed;succeed;0.2931757188354021;0.29453259887431155
alien;alien;0.33586582250263297;0.29453259887431155
potters;potters;0.3038874091625959;0.29453259887431155
paradoxically;paradoxically;0.4086826254430041;0.29453259887431155
stain;stain;0.3449339328980386;0.29453259887431155
constitutes;constitutes;0.2720960041419978;0.29453259887431155
Dams;Dams;0.2628765691149783;0.29453259887431155
ritualized;ritualized;0.3329973297027927;0.29453259887431155
annoying;annoying;0.48853295294700255;0.29453259887431155
fruits;fruits;0.3930224125862282;0.29453259887431155
hated;hated;0.4330855585119782;0.29453259887431155
whore;whore;0.3512173745130316;0.29453259887431155
finances;finances;0.4165212724257262;0.29453259887431155
leaf;leaf;0.5108039987566311;0.29453259887431155
shipyards;shipyards;0.14223080905592442;0.29453259887431155
Cardinal;Cardinal;0.3124236617351413;0.29453259887431155
posthumous;posthumous;0.40449313018950017;0.29453259887431155
Pod;Pod;0.10774925736092886;0.29453259887431155
taller;taller;0.3114145354369394;0.29453259887431155
righthander;righthander;0.24477641814843476;0.29453259887431155
tangency;tangency;0.19419415629623835;0.29453259887431155
warnings;warnings;0.2403502222950409;0.29453259887431155
razor;razor;0.27647810842042253;0.29453259887431155
lineup;lineup;0.12590899068472877;0.29453259887431155
overt;overt;0.25381622048192887;0.29453259887431155
