SUB;Réel;Distance cos;Moyenne
semiarid;semiarid;0.4321108705207696;0.5047819581028449
accessibility;accessibility;0.46270480707526335;0.5047819581028449
burrow;burrow;0.6589541428752629;0.5047819581028449
timbre;timbre;0.6936924673165047;0.5047819581028449
rituals;rituals;0.47530839591799773;0.5047819581028449
headless;headless;0.5563001042014258;0.5047819581028449
skid;skid;0.5472128652833224;0.5047819581028449
betray;betray;0.5917549003974641;0.5047819581028449
memorizing;memorizing;0.609166739522554;0.5047819581028449
planters;planters;0.4715357617768893;0.5047819581028449
dismemberment;dismemberment;0.5345545653927013;0.5047819581028449
intruding;intruding;0.4126025965276019;0.5047819581028449
proportional;proportional;0.5963432278675825;0.5047819581028449
dissipated;dissipated;0.5043213673436256;0.5047819581028449
mould;mould;0.33707415598187945;0.5047819581028449
sardines;sardines;0.6630762006044668;0.5047819581028449
interplay;interplay;0.5466218862418348;0.5047819581028449
indentations;indentations;0.46508386780663025;0.5047819581028449
combing;combing;0.5100485514556297;0.5047819581028449
animated;animated;0.3675891145306841;0.5047819581028449
strung;strung;0.531027729140498;0.5047819581028449
nationalize;nationalize;0.6472257264506052;0.5047819581028449
containers;containers;0.39017718193716366;0.5047819581028449
milder;milder;0.5513101141695536;0.5047819581028449
tertiary;tertiary;0.30009322351169215;0.5047819581028449
rheumatic;rheumatic;0.6774667132426198;0.5047819581028449
sterilized;sterilized;0.6057965375343812;0.5047819581028449
virtuosi;virtuosi;0.5458002383264831;0.5047819581028449
pronouncements;pronouncements;0.5749277470076931;0.5047819581028449
vowel;vowel;0.5385782676237588;0.5047819581028449
splicing;splicing;0.31175110916655957;0.5047819581028449
blackmail;blackmail;0.4491550920537531;0.5047819581028449
facet;facet;0.5864978001364283;0.5047819581028449
reacting;reacting;0.41821358950316867;0.5047819581028449
somatic;somatic;0.5750796517623715;0.5047819581028449
reagents;reagents;0.5955345067077163;0.5047819581028449
sod;sod;0.45139134734732234;0.5047819581028449
detachable;detachable;0.4395696389275553;0.5047819581028449
conscripted;conscripted;0.4154850061929157;0.5047819581028449
demise;demise;0.4523353765225836;0.5047819581028449
interludes;interludes;0.5923387926843072;0.5047819581028449
brightly;brightly;0.6663419227276168;0.5047819581028449
solves;solves;0.5470997890748285;0.5047819581028449
adjudication;adjudication;0.4763417274360715;0.5047819581028449
seating;seating;0.40486547944567236;0.5047819581028449
parameters;parameters;0.6208846727883699;0.5047819581028449
overflowing;overflowing;0.5605265790734743;0.5047819581028449
blueprints;blueprints;0.4916753598276382;0.5047819581028449
dominion;dominion;0.41041143190757107;0.5047819581028449
tributes;tributes;0.5006122891052551;0.5047819581028449
impervious;impervious;0.4893821671371012;0.5047819581028449
enhancing;enhancing;0.5181334966350668;0.5047819581028449
vetoed;vetoed;0.391124750301545;0.5047819581028449
mooring;mooring;0.40427108438780784;0.5047819581028449
spotting;spotting;0.2729390476508697;0.5047819581028449
relayed;relayed;0.3757629308081722;0.5047819581028449
shrine;shrine;0.43211934320562073;0.5047819581028449
falcon;falcon;0.47030680997398716;0.5047819581028449
disapprove;disapprove;0.584749801813493;0.5047819581028449
stopover;stopover;0.5272764779583523;0.5047819581028449
upturn;upturn;0.7229506393866136;0.5047819581028449
pros;pros;0.5940738196783886;0.5047819581028449
unmixed;unmixed;0.35751064504206426;0.5047819581028449
astride;astride;0.524285270609876;0.5047819581028449
flyer;flyer;0.4531745662297711;0.5047819581028449
underling;underling;0.4862215186446978;0.5047819581028449
hampered;hampered;0.5607932107148301;0.5047819581028449
monic;monic;0.7427234775817421;0.5047819581028449
defender;defender;0.36836425049061267;0.5047819581028449
broom;broom;0.509568682740579;0.5047819581028449
bigotry;bigotry;0.609572368897463;0.5047819581028449
slimmer;slimmer;0.4921892745818075;0.5047819581028449
flirtatious;flirtatious;0.7042678872719279;0.5047819581028449
pioneers;pioneers;0.3321884847879753;0.5047819581028449
finalist;finalist;0.3757365277680467;0.5047819581028449
culprits;culprits;0.5541398498195078;0.5047819581028449
outlying;outlying;0.49224424271415285;0.5047819581028449
monkeys;monkeys;0.34980915726282436;0.5047819581028449
skipping;skipping;0.4998694673126568;0.5047819581028449
locus;locus;0.4043924440684126;0.5047819581028449
sneaking;sneaking;0.5320102343689603;0.5047819581028449
rioting;rioting;0.725633227749181;0.5047819581028449
pastel;pastel;0.5530389810809473;0.5047819581028449
lug;lug;0.31089158193643474;0.5047819581028449
venerated;venerated;0.47440928825739587;0.5047819581028449
admiring;admiring;0.49155657352157844;0.5047819581028449
transgression;transgression;0.6427758169655978;0.5047819581028449
beaker;beaker;0.5937278483286212;0.5047819581028449
shred;shred;0.5362132128280018;0.5047819581028449
transparency;transparency;0.3871388494898532;0.5047819581028449
spellbound;spellbound;0.4832400140480851;0.5047819581028449
notables;notables;0.4448580490123806;0.5047819581028449
standstill;standstill;0.5863854171434595;0.5047819581028449
liners;liners;0.39188360685693757;0.5047819581028449
pulsation;pulsation;0.5859501470806903;0.5047819581028449
infinitum;infinitum;0.6589343795820212;0.5047819581028449
bundled;bundled;0.37785556258489317;0.5047819581028449
unsuited;unsuited;0.6023732933275255;0.5047819581028449
arboreal;arboreal;0.28546004368700767;0.5047819581028449
overlapped;overlapped;0.44914675698323825;0.5047819581028449
